ticker,mean_returns,std_returns,skew_returns,kurt_returns,mean_volatility,volatility_of_volatility,mean_rsi,trend_strength,mean_volume_ratio,volume_volatility,mean_spread
AAPL,0.0008039873682622451,0.018011164563910727,0.5097421088465183,7.043158536335113,0.01669936779085097,0.007072136646735292,53.956490017885166,0.14352801979603136,1.00165921919393,0.3611486768663379,0.021303721082351058
MSFT,0.0006777680292716682,0.01682924197482704,0.24012254268593541,3.270913244972057,0.015979806435031566,0.005657582911805268,53.56095832850543,0.10515455153388897,1.0046047251491936,0.3458986733425078,0.020044313640194142
GOOGL,0.000952893177715152,0.020311563029942185,0.0699954696664646,3.0123877698691697,0.019514166374194578,0.005855757953166907,53.436986328529024,0.31370743901286824,1.0091041528029023,0.38062842831706434,0.023758303259608825
AMZN,0.0005856461226370831,0.02338382080270274,0.1695008639054825,4.745184733478588,0.021841079995949256,0.00828908207227961,52.08659921383761,0.06179998318513258,1.006436779978918,0.38568665689783754,0.026720045577747438
TSLA,0.0011985496537779304,0.03945688475255205,0.29210556999728043,2.7461902836407006,0.03759651951159105,0.011085286470111665,51.217278392169376,0.2789305267195221,1.0089071879884288,0.28674486753662326,0.0468058810819282
NVDA,0.002720473743673284,0.03434451832720683,0.5414189785343897,4.41962673195506,0.032464760833076374,0.011273231385883443,55.725996781718116,0.22470267750385675,1.0031629027049291,0.31722965110229673,0.03990054783933431
META,0.000982410582308869,0.028932966777828348,-0.19682563978459353,20.073534267312258,0.025839791725398215,0.01318248105944245,54.00131366075899,0.04256806216608622,1.0149481725756309,0.503042036987334,0.029393001254284595
JPM,0.0007885002314262293,0.015548949986091886,0.16731813062563294,5.771759631694833,0.01451626938934849,0.005710504262492357,55.75343976331946,0.11464151109278276,1.0035433512163217,0.38549662547995966,0.019233612817971864
BAC,0.00040432755707415623,0.0173073710167049,0.011844631232440055,3.665668446623365,0.016449703065894383,0.005407308431892738,52.787285732578134,0.12579275961944725,1.0045429010545963,0.36229851678568126,0.021932977152043003
GS,0.0009371804459225987,0.017467272371393793,0.35363619624622417,6.400582414073446,0.016478422423001245,0.005796246565602582,54.28044544120757,0.17841072327453866,1.0061786655494735,0.4390620717946218,0.02187996550545615
MS,0.0007776363762478891,0.018160138236760846,0.20558481071819612,4.662267300111272,0.017190354758683676,0.006063996212229048,53.55405292409434,0.16739810558105228,1.003931336863658,0.42012531058157565,0.02213207469573846
C,0.0006262676930912895,0.01833367916176876,0.2627562327245788,6.238218091261134,0.017252689302436796,0.0062384798998461125,52.95688646515197,0.18269447668640404,1.0008661595756438,0.36094014498704036,0.023111452346228026
WFC,0.0008263352223648846,0.01908267645754119,0.19454060313690508,4.189597552889109,0.018182870545923487,0.005977467979033182,53.824599624197916,0.08705170603146462,0.9995983751762807,0.384576046403666,0.023463954860819307
XOM,0.0009109108754088899,0.016649234947244695,-0.25601173325995047,1.684849483048282,0.01597325611753024,0.005200479191022129,53.42427547062156,0.046013486874658005,0.9996221053075569,0.3114018323607636,0.021296685219238477
CVX,0.0006414900627062341,0.015922996348095658,-0.37719307135418556,3.474965298573495,0.015058148021779147,0.005217198175790425,53.89523772618382,0.040033269303433316,1.0044199275280852,0.3862075244895672,0.01986475951530852
COP,0.0005616902455115549,0.020670356576190367,-0.2817834356587454,3.336312545053981,0.019371020279116958,0.00749418254539233,51.923914338945174,-0.014430817160702047,0.9998508022947212,0.4044401837092048,0.025652365994453395
