Date,open,high,low,close,volume,dividends,stock splits,returns,log_returns,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,volatility_5,atr_5,volatility_10,atr_10,volatility_20,atr_20,rsi_14,rsi_28,macd,macd_signal,macd_hist,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,volume_sma_20,volume_ratio,obv,high_low_ratio,close_open_ratio,spread_proxy,volume_imbalance,volume_imbalance_ratio,cum_volume_imbalance_5,volume_imbalance_ratio_5,cum_volume_imbalance_10,volume_imbalance_ratio_10,cum_volume_imbalance_20,volume_imbalance_ratio_20,price_pressure,price_pressure_5,liquidity_proxy,day_of_week,day_of_month,month,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,returns_lag_1,returns_lag_2,returns_lag_3,returns_lag_5,returns_lag_10,volume_ratio_lag_1,volume_ratio_lag_2,volume_ratio_lag_3,volume_ratio_lag_5,volume_ratio_lag_10,rsi_14_lag_1,rsi_14_lag_2,rsi_14_lag_3,rsi_14_lag_5,rsi_14_lag_10,macd_lag_1,macd_lag_2,macd_lag_3,macd_lag_5,macd_lag_10,volatility_10_lag_1,volatility_10_lag_2,volatility_10_lag_3,volatility_10_lag_5,volatility_10_lag_10,target_direction_5d,target_returns_5d,target_volatility_5d,target_mfe_5d,target_mae_5d,target_direction_10d,target_returns_10d,target_volatility_10d,target_mfe_10d,target_mae_10d,target_direction_15d,target_returns_15d,target_volatility_15d,target_mfe_15d,target_mae_15d,target_direction_20d,target_returns_20d,target_volatility_20d,target_mfe_20d,target_mae_20d
2021-10-06 00:00:00-04:00,221.937125622208,224.29661976260272,220.53958846644346,224.24217224121094,2107900,0.0,0.0,0.007666693430931737,0.0076374536898445025,221.32727966308593,222.29387802160295,222.04601593017577,221.58051479744552,220.35490341186522,220.36882653533868,217.24551177978515,217.71391226767315,205.35272903442382,210.8636605705722,0.009149543894790706,3.629982253440562,0.00932622954736852,3.339585201332639,0.008177783586478707,3.289217214814832,57.16385161183642,62.91068624720442,1.5949877342908678,1.5149573539811454,0.08003038030972243,225.18143096873447,215.52837585499597,0.043806854144271,0.9026982943268648,2729560.0,0.7722490071659901,19493300.0,1.01703563211614,1.0103860343894275,0.016754347581497395,2107900,1.0,1594700.0,0.13266723792251442,-235600.0,-0.009553701045392245,2984000.0,0.05466082445522355,0.005920596390283052,0.0009940702510717163,561054.6822313851,2,6,10,4,0,0,0,0,0.00880357693387035,0.0006175972084023762,0.007548421911051539,0.002092166948190366,0.010935576397986813,0.8924000528969217,0.8198524155678482,0.7737405285736115,0.6513102930896318,1.323861522013495,57.70907009846362,53.82203011116692,53.380440220936634,62.2992877505347,61.82337865565944,1.4259702672087826,1.3632146993213894,1.4610197550925363,1.8735785140742962,1.224360906572656,0.009613022959493126,0.009426163329552904,0.010667348153485823,0.00985423553132005,0.0073602238853750545,0,-0.018008993643480298,0.005337041875184558,0.01153369270114668,-0.029138090430651298,0,-0.029866558337390603,0.006674427246772988,0.01153369270114668,-0.03160677640589804,0,-0.01768529868973967,0.010070938099368177,0.01153369270114668,-0.04435461528737583,1,0.013354781441262453,0.010335036235521374,0.0207202988364259,-0.04435461528737583
2021-10-07 00:00:00-04:00,225.05889897320247,226.82851254647866,224.76849374718623,225.34930419921875,2423900,0.0,0.0,0.004937215631397374,0.004925067551022045,222.63589172363282,223.31235341414154,222.36727142333984,222.26574923413156,220.79549102783204,220.84315774229242,217.3881396484375,218.01343583791171,205.53532005310058,211.0300964816817,0.0032824880761144785,3.3123561034328133,0.009231143115468252,3.342306400676418,0.008195190558023382,3.2524630413735323,60.54245624362247,63.481670111319836,1.7975505306839352,1.5714759893217036,0.2260745413622316,225.7615339676577,215.8294480880064,0.04498319161055393,0.9584951465951863,2701145.0,0.8973601935475511,21917200.0,1.0091650692005325,1.0012903521137853,0.009141447348207868,2423900,1.0,7155400.0,0.6328068344623875,-753400.0,-0.03120599102009709,2415700.0,0.04471622219466189,0.004430460774576742,0.004910845641767622,1176639.747575385,3,7,10,4,0,0,0,0,0.007666693430931737,0.00880357693387035,0.0006175972084023762,-0.012977020789678329,0.0067864592810022994,0.7722490071659901,0.8924000528969217,0.8198524155678482,1.1677114820495258,1.130053973071087,57.16385161183642,57.70907009846362,53.82203011116692,53.76213616099083,61.696036195093356,1.5949877342908678,1.4259702672087826,1.3632146993213894,1.5784663422835479,1.4377222295657361,0.00932622954736852,0.009613022959493126,0.009426163329552904,0.010380349387923196,0.007476038759501804,0,-0.015181983373793395,0.006521611006527979,0.005275527509989164,-0.03390789547050388,0,-0.027867435619019165,0.006973726774847857,0.005275527509989164,-0.03636445289204959,0,-0.011356338886868045,0.01048053019853483,0.005275527509989164,-0.04904966216004192,1,0.020699134346282566,0.010616176174893464,0.02359856237674407,-0.04904966216004192
2021-10-08 00:00:00-04:00,226.19328787914347,226.53814065287864,224.25124776679067,224.7866668701172,1687500,0.0,0.0,-0.0024967342637284284,-0.002499856302403541,223.50164794921875,223.80379123280008,222.48343048095703,222.72409789521984,221.1820846557617,221.21873004080368,217.4790805053711,218.27913493183323,205.71398292541505,211.1879125968187,0.004769724284735454,2.963878194885848,0.0091101284156198,3.3350427950136976,0.00825646704847577,3.2438428687275005,67.31002739488935,63.85785863432805,1.8908859265524711,1.6353579767678574,0.2555279497846137,226.12576955456126,216.23839975696217,0.04470239898944514,0.8645643167135065,2683760.0,0.6287820073329955,20229700.0,1.010197904844954,0.9937813317883338,0.010173614467130948,-1687500,-1.0,7543900.0,0.690902929782304,67900.0,0.002911476534528225,2763400.0,0.05148373923152592,-0.0015699015821242297,0.003428761333472046,737900.7605759318,4,8,10,4,0,0,0,0,0.004937215631397374,0.007666693430931737,0.00880357693387035,0.007548421911051539,0.006700048646945955,0.8973601935475511,0.7722490071659901,0.8924000528969217,0.7737405285736115,0.9545732994950897,60.54245624362247,57.16385161183642,57.70907009846362,53.380440220936634,67.60900612963472,1.7975505306839352,1.5949877342908678,1.4259702672087826,1.4610197550925363,1.7072282587294296,0.009231143115468252,0.00932622954736852,0.009613022959493126,0.010667348153485823,0.007587181081724017,0,-0.02200253753508019,0.0070856865725440156,0.005813437731202242,-0.03148978282651571,0,-0.03738387477981886,0.007583472576596278,0.005813437731202242,-0.03916022707346545,0,-0.008679969255246167,0.010470839243862445,0.005813437731202242,-0.04666944910897319,1,0.02830028389954964,0.010614469948379675,0.03968499029129102,-0.04666944910897319
2021-10-11 00:00:00-04:00,225.14966084238847,226.0934501607711,223.6522848143458,223.770263671875,1504000,0.0,0.0,-0.004521634723243961,-0.004531888233622776,224.13689270019532,223.7926153791584,222.34458618164064,222.9143098546117,221.4257469177246,221.46173324412766,217.57333984375,218.49453733281803,205.88711769104003,211.33203867307415,0.0060400078244663,2.916689395112485,0.008944656533937296,3.2506464052619664,0.008212903409991248,3.2470189761249,62.36781422062122,60.434791475005895,1.8613828060488231,1.6805629426240507,0.1808198634247724,226.37559675735318,216.47589707809604,0.04470889143228489,0.7368270584069193,2644220.0,0.5687877710629221,18725700.0,1.0109150029406215,0.9938734210597853,0.01090924820111451,-1504000,-1.0,3803400.0,0.37338019319877486,-3899400.0,-0.17437461430449597,-1035400.0,-0.019578552465377312,-0.0025718505357946453,0.002813123513681788,616099.1930359638,0,11,10,4,0,0,0,0,-0.0024967342637284284,0.004937215631397374,0.007666693430931737,0.0006175972084023762,0.006858042919470453,0.6287820073329955,0.8973601935475511,0.7722490071659901,0.8198524155678482,0.9253029970080631,67.31002739488935,60.54245624362247,57.16385161183642,53.82203011116692,78.87590710466205,1.8908859265524711,1.7975505306839352,1.5949877342908678,1.3632146993213894,2.0212649555073767,0.0091101284156198,0.009231143115468252,0.00932622954736852,0.009426163329552904,0.007473185174076125,0,-0.017519663132812502,0.007357891605722203,0.008192191119455572,-0.02709064209122647,0,-0.03747260144692732,0.0075845292478140935,0.008192191119455572,-0.040879189052806075,1,0.016221811812172193,0.011707575275149078,0.020723395430662928,-0.042339257040519995,1,0.026441649401077738,0.010675194997881759,0.04440741914290114,-0.042339257040519995
2021-10-12 00:00:00-04:00,224.81390177799102,225.60343243872595,221.59228933237011,221.90084838867188,2346700,0.0,0.0,-0.00835417205363953,-0.008389263726913234,224.00985107421874,223.16202638232957,222.41265106201172,222.73004413353172,221.5795684814453,221.50355373414104,217.67732360839844,218.62815631363432,206.05371559143066,211.4529185455907,0.006672560884032941,3.016514588059221,0.00734974662078087,3.1798653332658176,0.008479815964794852,3.322795487209581,52.894721914674136,57.066836388082535,1.6679283614172107,1.6780360263826828,-0.010107664965472107,226.37793217200354,216.78120479088707,0.043310524733331086,0.5334780696030558,2660865.0,0.8819312516794351,16379000.0,1.0181014561401973,0.9870423787573606,0.018076285581973474,-2346700,-1.0,-1006400.0,-0.09994041708043694,-3238600.0,-0.14923461159187887,-1368300.0,-0.025711563720820108,-0.007367805416011668,-0.00023170007381414988,585045.1947928638,1,12,10,4,0,0,0,0,-0.004521634723243961,-0.0024967342637284284,0.004937215631397374,0.00880357693387035,-0.017492137605574887,0.5687877710629221,0.6287820073329955,0.8973601935475511,0.8924000528969217,1.1137857605777244,62.36781422062122,67.31002739488935,60.54245624362247,57.70907009846362,61.41911883131215,1.8613828060488231,1.8908859265524711,1.7975505306839352,1.4259702672087826,1.9300879366650747,0.008944656533937296,0.0091101284156198,0.009231143115468252,0.009613022959493126,0.009870572595660865,0,-0.00715688794508007,0.007118264287083394,0.007606560986650024,-0.01889431640769279,0,-0.033126298694020395,0.007415158335933524,0.007606560986650024,-0.03427139410979174,1,0.019303016387697935,0.01155825852716271,0.03149013950981794,-0.03427139410979174,1,0.03324862984299659,0.010459347929585012,0.053206083976379714,-0.03427139410979174
2021-10-13 00:00:00-04:00,220.76645306103723,221.31094209927898,217.70818354808085,220.20379638671875,3214300,0.0,0.0,-0.0076477941128942906,-0.007677188454108791,223.20217590332032,222.17594971712597,222.2647277832031,222.27072636138394,221.65534439086915,221.3797673199487,217.80422760009765,218.68996307731612,206.20009704589845,211.55285734943365,0.005337041875184558,3.103641296945574,0.007726244189801042,3.366811775193068,0.008682000997672825,3.3922201377229895,45.6046571661735,53.07385232509629,1.3619764080847858,1.6148241027231036,-0.2528476946383178,226.3070842259603,217.003604555778,0.0419727288586214,0.3439779463588645,2696220.0,1.1921504921705202,13164700.0,1.0165485674102024,0.997451348850711,0.01636101924814688,-3214300,-1.0,-6328600.0,-0.5662467341899001,-4733900.0,-0.20407644190768515,-7089800.0,-0.13147665991647567,-0.009117321515705734,-0.003239283655011907,892177.4674384057,2,13,10,4,0,0,0,0,-0.00835417205363953,-0.004521634723243961,-0.0024967342637284284,0.007666693430931737,0.002092166948190366,0.8819312516794351,0.5687877710629221,0.6287820073329955,0.7722490071659901,0.6513102930896318,52.894721914674136,62.36781422062122,67.31002739488935,57.16385161183642,62.2992877505347,1.6679283614172107,1.8613828060488231,1.8908859265524711,1.5949877342908678,1.8735785140742962,0.00734974662078087,0.008944656533937296,0.0091101284156198,0.00932622954736852,0.00985423553132005,0,-0.012075023719316347,0.00841553954169297,0.015371916350916726,-0.01384715610876075,1,0.00032963128139185116,0.011832463389165795,0.015371916350916726,-0.026828780990210577,1,0.031938963678610266,0.01130892948587147,0.03943955925177289,-0.026828780990210577,1,0.043189805253534,0.010226087393683244,0.06132286271775245,-0.026828780990210577
2021-10-14 00:00:00-04:00,220.4125387983473,222.7175715613259,219.65023195990022,221.9280548095703,2512000,0.0,0.0,0.007830284723263636,0.007799787143542822,222.51792602539064,222.09331808127408,222.57690887451173,222.20842244287238,221.71614532470704,221.43198517616122,218.00388427734376,218.81698054791255,206.36094314575195,211.6711726396196,0.006521611006527979,3.199841156177166,0.006779070264606531,3.2560986298049897,0.008610964651759544,3.380422927458002,46.182106542351235,56.218824670696186,1.2442970269683542,1.540718687572154,-0.2964216606037997,226.34771552622766,217.08457512318643,0.04177927768622898,0.5228766353140558,2651285.0,0.9474650971132865,15676700.0,1.0139646545057401,1.0068758157747528,0.01382132423076333,2512000,1.0,-6240500.0,-0.5539970704425408,914900.0,0.04053269773479415,-7988500.0,-0.1506533624261443,0.007418921475751665,-0.0026415915147769225,818950.7281268865,3,14,10,4,0,0,0,0,-0.0076477941128942906,-0.00835417205363953,-0.004521634723243961,0.004937215631397374,-0.012977020789678329,1.1921504921705202,0.8819312516794351,0.5687877710629221,0.8973601935475511,1.1677114820495258,45.6046571661735,52.894721914674136,62.36781422062122,60.54245624362247,53.76213616099083,1.3619764080847858,1.6679283614172107,1.8613828060488231,1.7975505306839352,1.5784663422835479,0.007726244189801042,0.00734974662078087,0.008944656533937296,0.009231143115468252,0.010380349387923196,0,-0.012881011548391164,0.008170152313142207,0.007483037314882646,-0.021509019088443604,1,0.003884620734327271,0.012142746993644836,0.007483037314882646,-0.03438978391385705,1,0.036434262081229685,0.011521057558732848,0.03937838777908631,-0.03438978391385705,1,0.02294001963796477,0.010585092053139124,0.05307697020553159,-0.03438978391385705
2021-10-15 00:00:00-04:00,222.55420638566838,223.58875072492967,219.60484594466325,219.84078979492188,2564700,0.0,0.0,-0.009405142655080079,-0.009449650296230148,221.52875061035155,221.3424753191567,222.51519927978515,221.77794377960862,221.70525360107422,221.28044275874785,218.13309478759766,218.85714010085147,206.5164825439453,211.76420101881027,0.0070856865725440156,3.5392435350128553,0.007188787629791926,3.2515608649493517,0.00885686831677826,3.454837515098684,38.32674724492947,56.624337165596025,0.9714126058150896,1.4268574712207411,-0.45544486540565154,226.35422772085957,217.05627948128887,0.041938330682505985,0.2994757813108208,2541690.0,1.0090530316442996,13112000.0,1.0181412425719891,0.9878078395604692,0.018121772506288724,-2564700,-1.0,-7117700.0,-0.5862193926715369,426200.0,0.018481739417014302,-5796600.0,-0.11403042857311474,-0.00949028770915567,-0.004225668740183211,643765.3863374947,4,15,10,4,0,0,0,0,0.007830284723263636,-0.0076477941128942906,-0.00835417205363953,-0.0024967342637284284,0.007548421911051539,0.9474650971132865,1.1921504921705202,0.8819312516794351,0.6287820073329955,0.7737405285736115,46.182106542351235,45.6046571661735,52.894721914674136,67.31002739488935,53.380440220936634,1.2442970269683542,1.3619764080847858,1.6679283614172107,1.8908859265524711,1.4610197550925363,0.006779070264606531,0.007726244189801042,0.00734974662078087,0.0091101284156198,0.010667348153485823,0,-0.015727379502572525,0.00884055436602165,0.006935125857795654,-0.017543695353913757,1,0.013622293299469401,0.011645937621727574,0.015851367729335708,-0.02522185641639918,1,0.051434511197859134,0.011052455057689188,0.06307534548289673,-0.02522185641639918,1,0.03475755589837126,0.010287473610553037,0.06307534548289673,-0.02522185641639918
2021-10-18 00:00:00-04:00,219.99508665582866,220.92980603714346,218.82442339821057,219.84988403320312,2484900,0.0,0.0,4.136738359483694e-05,4.136652798822025e-05,220.7446746826172,220.84494489050553,222.44078369140624,221.42738746208036,221.84909133911134,221.14419907047673,218.2653744506836,218.89608071070543,206.65859657287598,211.8561415238811,0.007357891605722203,3.4720869935143694,0.007183305447358737,3.194388194313427,0.008221595376771064,3.294663819847861,46.36497945801542,54.20130313464159,0.7472695073560658,1.290939878447806,-0.5436703710917403,226.03672152976165,217.66146114846103,0.037752060784862394,0.2612961012684657,2438440.0,1.0190531651383672,15596900.0,1.0096213329674886,0.9993399733383469,0.00957645553551862,-2484900,-1.0,-8098600.0,-0.6171490405864691,-4295200.0,-0.18427216954824316,-3731600.0,-0.07651613326553042,4.215556318581155e-05,-0.0037028675203871196,1180260.5160929142,0,18,10,4,0,0,0,0,-0.009405142655080079,0.007830284723263636,-0.0076477941128942906,-0.004521634723243961,0.0006175972084023762,1.0090530316442996,0.9474650971132865,1.1921504921705202,0.5687877710629221,0.8198524155678482,38.32674724492947,46.182106542351235,45.6046571661735,62.36781422062122,53.82203011116692,0.9714126058150896,1.2442970269683542,1.3619764080847858,1.8613828060488231,1.3632146993213894,0.007188787629791926,0.006779070264606531,0.007726244189801042,0.008944656533937296,0.009426163329552904,0,-0.02030874060822252,0.008665928622413586,0.0068934733092460565,-0.02377607474006005,1,0.03434315545955391,0.013083665512074391,0.03892501165511386,-0.02526217876975445,1,0.044745233959662345,0.011309880585992938,0.0630313706564134,-0.02526217876975445,1,0.0440849101219718,0.010405024843390343,0.0630313706564134,-0.02526217876975445
2021-10-19 00:00:00-04:00,220.72109916610083,221.36541334082685,219.1874292598907,220.31272888183594,2071600,0.0,0.0,0.0021052767467593103,0.0021030637570952416,220.42705078125,220.66753955428234,222.21845092773438,221.22472226567228,221.95209426879882,221.0650114333981,218.43543212890626,218.95164853178753,206.8224725341797,211.9521630983974,0.007118264287083394,3.105455188430432,0.006520279216865883,3.060984888244826,0.008138519109247615,3.2556423614415806,46.36502287747839,54.74666787406989,0.6000650185879408,1.1527649064758332,-0.5526998878878924,225.8592037015664,218.04498483603123,0.03520678140604353,0.2902073879459217,2441605.0,0.8484582887076328,17668500.0,1.0099366286118248,0.9981498357619288,0.009885874919666112,-2071600,-1.0,-7823500.0,-0.6089511578128041,-8829900.0,-0.38529071670121084,-7811500.0,-0.15996649744737582,0.001786239505811377,-0.0018720585360225105,951154.794074337,1,19,10,4,0,0,0,0,4.136738359483694e-05,-0.009405142655080079,0.007830284723263636,-0.00835417205363953,0.00880357693387035,1.0190531651383672,1.0090530316442996,0.9474650971132865,0.8819312516794351,0.8924000528969217,46.36497945801542,38.32674724492947,46.182106542351235,52.894721914674136,57.70907009846362,0.7472695073560658,0.9714126058150896,1.2442970269683542,1.6679283614172107,1.4259702672087826,0.007183305447358737,0.007188787629791926,0.006779070264606531,0.00734974662078087,0.009613022959493126,0,-0.026156610680604486,0.007987494467385144,-0.0004944938705748747,-0.027309960491735508,1,0.02665063997675654,0.013378280855863569,0.038925613710416807,-0.027309960491735508,1,0.040696780082855266,0.011375628080228427,0.060798097089604264,-0.027309960491735508,1,0.03991428422025556,0.010445575465410868,0.060798097089604264,-0.027309960491735508
