,AAPL,MSFT,GOOGL,AMZN,TSLA,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,JNJ,PFE,UNH,ABBV,TMO
2020-12-21 00:00:00-05:00,124.82579040527344,213.58396911621094,86.07762145996094,160.3090057373047,216.6199951171875,108.51073455810547,26.35664176940918,228.1982879638672,57.82609939575195,51.21706771850586,34.28615951538086,69.60848236083984,33.61000442504883,19.564565658569336,39.34657669067383,132.75845336914062,29.28957176208496,309.77752685546875,85.3408203125,456.8415222167969
2020-12-22 00:00:00-05:00,128.37890625,214.87933349609375,85.36599731445312,160.3260040283203,213.44667053222656,106.85955810546875,25.88693618774414,222.0799560546875,56.81158447265625,49.56922912597656,33.705875396728516,68.2096939086914,32.59937286376953,19.187280654907227,38.38020324707031,132.4981689453125,28.78809356689453,308.79132080078125,84.59200286865234,459.13128662109375
2020-12-23 00:00:00-05:00,127.48328399658203,212.0774688720703,85.76350402832031,159.2635040283203,215.32666015625,109.845703125,26.63137435913086,227.72767639160156,58.15005111694336,50.84065628051758,34.1390495300293,69.28504943847656,33.47636795043945,19.690319061279297,39.34657669067383,131.8214569091797,29.336584091186523,311.16937255859375,84.98696899414062,452.36083984375
2020-12-24 00:00:00-05:00,128.4664764404297,213.73748779296875,86.05776977539062,158.63450622558594,220.58999633789062,109.3626708984375,26.551618576049805,227.47012329101562,58.0477409362793,50.66499710083008,34.000099182128906,68.99398803710938,32.98358917236328,19.438798904418945,38.969459533691406,132.28126525878906,29.203388214111328,314.1190185546875,84.97052001953125,452.1139831542969
2020-12-28 00:00:00-05:00,133.06118774414062,215.85806274414062,88.03284454345703,164.197998046875,221.22999572753906,110.08283996582031,26.702272415161133,230.5159454345703,58.013648986816406,51.133426666259766,34.11452865600586,68.64630889892578,32.824886322021484,19.37592124938965,38.45090866088867,132.90591430664062,28.850784301757812,318.8751220703125,85.12686157226562,454.7196044921875
2020-12-29 00:00:00-05:00,131.28948974609375,215.08084106445312,87.22892761230469,166.10000610351562,221.99667358398438,109.79304504394531,26.595924377441406,229.11288452148438,57.72378921508789,50.94940185546875,33.730384826660156,68.41182708740234,32.632781982421875,19.20524787902832,38.2387809753418,133.7301483154297,29.030996322631836,320.1655578613281,86.15545654296875,456.82171630859375
2020-12-30 00:00:00-05:00,130.17002868652344,212.7107696533203,86.16148376464844,164.29249572753906,231.5933380126953,110.10038757324219,26.569337844848633,230.39163208007812,57.834617614746094,50.90758514404297,34.000099182128906,68.99398803710938,33.41789627075195,19.654388427734375,39.72369384765625,135.3872528076172,28.78809356689453,317.990234375,86.62451171875,455.7065124511719
2020-12-31 00:00:00-05:00,129.16741943359375,213.42083740234375,86.974853515625,162.84649658203125,235.22332763671875,111.60226440429688,26.861793518066406,234.1744842529297,58.422847747802734,51.57675552368164,33.68952941894531,68.2824478149414,33.40119934082031,19.60947608947754,39.18159103393555,136.54116821289062,28.842945098876953,323.2348937988281,88.1715087890625,459.7037353515625
2021-01-04 00:00:00-05:00,125.97447967529297,208.88221740722656,85.65929412841797,159.3314971923828,243.2566680908203,110.54832458496094,26.61365509033203,235.3200225830078,58.252342224121094,50.30531311035156,33.91836929321289,68.49266815185547,33.05039978027344,19.717267990112305,39.173728942871094,135.77764892578125,28.842945098876953,322.14727783203125,86.73971557617188,465.66485595703125
2021-01-05 00:00:00-05:00,127.531982421875,209.083740234375,86.35006713867188,160.92550659179688,245.0366668701172,111.14984130859375,26.81748390197754,240.58587646484375,59.241268157958984,51.61022186279297,35.5529899597168,70.34426879882812,34.94639205932617,20.777240753173828,42.36356735229492,137.37400817871094,29.140697479248047,317.8150939941406,87.63664245605469,471.4879150390625
2021-01-06 00:00:00-05:00,123.23905944824219,203.66229248046875,85.49800109863281,156.91900634765625,251.9933319091797,116.3689956665039,28.49247169494629,253.56846618652344,62.81331253051758,54.57968521118164,36.460208892822266,72.60820770263672,36.34123992919922,21.927038192749023,43.25924301147461,138.666748046875,28.889957427978516,331.1527099609375,86.87960052490234,478.8802490234375
2021-01-07 00:00:00-05:00,127.44438171386719,209.4579315185547,88.05170440673828,158.10800170898438,272.0133361816406,120.19046783447266,29.121694564819336,258.9852600097656,63.88746643066406,55.223751068115234,36.74626922607422,72.94780731201172,37.33517074584961,22.349224090576172,46.056236267089844,139.13519287109375,29.038837432861328,336.4618835449219,87.80944061279297,493.8029479980469
2021-01-08 00:00:00-05:00,128.5443878173828,210.734130859375,89.2174072265625,159.13499450683594,293.3399963378906,120.32317352294922,28.829242706298828,257.5910949707031,64.15174102783203,54.6800537109375,37.15492248535156,73.64318084716797,37.33517074584961,22.31330108642578,46.25265884399414,138.84889221191406,29.093687057495117,334.9501953125,88.27025604248047,505.61688232421875
2021-01-11 00:00:00-05:00,125.55590057373047,208.69032287597656,87.15597534179688,155.7104949951172,270.39666748046875,122.118896484375,29.307809829711914,260.92108154296875,64.84228515625,55.575077056884766,38.282798767089844,74.06362915039062,37.88644027709961,22.448040008544922,46.83405685424805,138.2676239013672,29.59517478942871,332.51690673828125,89.71028900146484,506.6531677246094
2021-01-12 00:00:00-05:00,125.38066864013672,206.23387145996094,86.22003936767578,156.04150390625,283.14666748046875,124.03843688964844,29.83068084716797,268.3625183105469,64.62064361572266,55.76746368408203,39.1328125,75.47049713134766,39.607025146484375,23.481061935424805,49.05751037597656,137.19183349609375,29.13286590576172,329.40142822265625,90.33567810058594,492.2632141113281
