ticker,mean_returns,std_returns,skew_returns,kurt_returns,mean_volatility,volatility_of_volatility,mean_rsi,trend_strength,mean_volume_ratio,volume_volatility,mean_spread
AAPL,0.0008039869499659576,0.018011152895343188,0.509740044026762,7.043145013590191,0.016699357485208684,0.007072131209691991,53.95649884522506,0.14352801863509135,1.00165921919393,0.3611486768663379,0.021303721082351058
MSFT,0.0006777680660456255,0.01682924378384892,0.2401182699959788,3.270896117428409,0.01597980773840708,0.0056575832036017066,53.56095614921926,0.10515455298667287,1.0046047251491936,0.3458986733425078,0.02004431364019414
GOOGL,0.0009528930721712438,0.020311563383420342,0.06999669334801119,3.0123842944432733,0.019514166295292762,0.005855760020221646,53.436985178507875,0.3137074374939248,1.0091041528029023,0.38062842831706434,0.023758303259608832
AMZN,0.0005856461226370831,0.02338382080270274,0.1695008639054825,4.745184733478588,0.021841079995949256,0.00828908207227961,52.08659921383761,0.06179998318513258,1.006436779978918,0.38568665689783754,0.026720045577747438
NVDA,0.0027204736174905645,0.03434451723579858,0.5414190439619219,4.419633662285748,0.03246476015411552,0.01127323040770654,55.72599927102734,0.2247026805740806,1.0031629027049291,0.31722965110229673,0.039900547839334305
META,0.0009824106113415268,0.02893297078461604,-0.19682574230138852,20.073526220574887,0.025839795329605588,0.013182482766828419,54.00131183373684,0.04256805878837522,1.0149481725756309,0.503042036987334,0.0293930012542846
TSLA,0.0011985496537779304,0.03945688475255205,0.29210556999728043,2.7461902836407006,0.03759651951159105,0.011085286470111665,51.217278392169376,0.2789305267195221,1.0089071879884288,0.28674486753662326,0.0468058810819282
JPM,0.0007885002618750226,0.015548951950830253,0.16731793329484757,5.77173957154133,0.014516273064508919,0.005710499895037703,55.75343670649069,0.11464151109278276,1.0035433512163217,0.38549662547995966,0.019233612817971864
BAC,0.00040432737021020034,0.01730737082168095,0.011843559842830547,3.6656652439950577,0.016449704241428366,0.005407307066527505,52.78728938702245,0.12579276290669728,1.0045429010545963,0.36229851678568126,0.021932977152043
GS,0.0009371803280398748,0.017467275408949146,0.3536367014214357,6.400593721699231,0.016478424103219678,0.005796251093478032,54.280441670984835,0.17841072489965848,1.0061786655494735,0.4390620717946218,0.021879965505456154
MS,0.0007776361757581463,0.018160141497661385,0.20558613186320396,4.662273505325603,0.01719035678728331,0.006064003794401191,53.55405716737588,0.167398108511442,1.003931336863658,0.42012531058157565,0.02213207469573846
C,0.0006262677337685087,0.018333681112028755,0.2627536953837008,6.238210243178932,0.017252693386060003,0.006238475559229902,52.95688226397629,0.18269447614937362,1.0008661595756438,0.36094014498704036,0.023111452346228026
WFC,0.0008263355976366849,0.01908267838829268,0.19454182717646654,4.189596413678926,0.018182872868492933,0.005977464602294691,53.82460141291006,0.08705170980630705,0.9995983751762807,0.384576046403666,0.023463954860819307
XOM,0.0009109109281956263,0.016649233740437752,-0.2560136328940548,1.6848589847554685,0.015973254169970436,0.005200478814901033,53.42427761188298,0.046013488344485376,0.9996221053075569,0.3114018323607636,0.02129668521923847
CVX,0.0006414900099677767,0.01592299803400908,-0.37719518707662886,3.4749740346782003,0.015058149271079398,0.005217202959458427,53.89523507682084,0.040033269841108554,1.0044199275280852,0.3862075244895672,0.01986475951530852
COP,0.0005616900100669023,0.02067035671079578,-0.2817840202001328,3.336311828161076,0.019371018850535833,0.007494183591900703,51.923924080716155,-0.0144308142762829,0.9998508022947212,0.4044401837092048,0.025652365994453398
SLB,0.0005176235472167287,0.023683627260541823,-0.0920407860544831,2.906218246332239,0.022404703873121483,0.007959261114580575,50.912113929198604,-0.018408571144579833,1.0094526911217199,0.4056267313240365,0.029734729564592555
JNJ,0.0004016221767021515,0.010809423876576744,0.09699844157313749,5.3744126588388355,0.010317976476149467,0.003222407831552008,51.12087945152534,0.1267138008635944,1.0169673020643248,0.39523589405136084,0.014823526673677928
PFE,-0.00017054489922094669,0.016500431951972833,0.5328205740348595,3.133868466771684,0.0157291229050601,0.004833619226469035,47.4678583213284,0.028920188228612975,1.0205984309398637,0.44633535117123113,0.021730683707421476
UNH,3.074748835784794e-05,0.019765159557394447,-2.1025402714475776,25.338522809086534,0.017288510702827095,0.00928525756025879,51.479569274486565,-0.06283723137307617,1.0244888347193122,0.5275370277779593,0.021649081973310575
ABBV,0.0009876998510393543,0.014373074706208994,-1.1118922275198317,8.926495708013654,0.013391147897524217,0.004993071347522057,55.475351794645924,0.12633946653772643,1.003334447357057,0.4373714856616627,0.01954528538958875
TMO,0.00015934368178040285,0.017127424051268183,0.5486242637844372,3.6662923445350595,0.01625372140313109,0.005746477868999011,50.168161305815225,0.11426438291292551,1.0099914998084687,0.3947199105485123,0.022167452670883676
WMT,0.0009090654721752517,0.013484083273807523,-0.5852367287386873,12.009305472962799,0.012309382489670555,0.005482066088933944,55.779720434423744,0.059924128550015165,1.0055301961485856,0.4562917783472962,0.016397448128507346
HD,0.00022774277839078468,0.015337228145806948,-0.185025027784079,3.1878278442329755,0.01461889136642177,0.004403717044727396,51.9447564559007,0.03436102172234934,1.0090578966202013,0.38529223991529626,0.019965428295817288
MCD,0.00035211043418439475,0.011025200025694426,-0.08381507213437521,2.455493389639263,0.010550421358795166,0.0031483757758054938,52.35793987816843,-0.0016942722271889865,1.0077345864177494,0.36312928815730827,0.015247182570092282
NKE,-0.0005283121655645332,0.02238943687076679,-0.5615169856895541,12.68981481144109,0.020636078633952698,0.00877472719736495,47.89907590208444,-0.0018563373980412523,1.0183207357984962,0.5515979953026874,0.023210457588020095
